sa4,RAW14,RAw10,RAW06,RAW02,2014,2010,2006,SA4_CODE_2011,SA4_NAME_2011,STATE_NAME_2011
101,90449,87722,86732,78510,103,101,110,101,Capital Region,New South Wales
102,134426,128479,127682,118048,104,100,108,102,Central Coast,New South Wales
103,81943,78977,79053,76765,103,99,102,103,Central West,New South Wales
104,49305,47828,46276,41446,103,103,111,104,Coffs Harbour - Grafton,New South Wales
105,44569,44275,45144,44812,100,98,100,105,Far West and Orana,New South Wales
106,112238,107536,103457,91583,104,103,112,106,Hunter Valley exc Newcastle,New South Wales
107,121840,117889,117097,110135,103,100,106,107,Illawarra,New South Wales
108,69871,68105,67645,60210,102,100,112,108,Mid North Coast,New South Wales
109,46962,46094,48048,45419,101,95,105,109,Murray,New South Wales
110,71238,69008,69465,67349,103,99,103,110,New England and North West,New South Wales
111,151532,144908,144790,132337,104,100,109,111,Newcastle and Lake Macquarie,New South Wales
112,88687,86005,84802,74014,103,101,114,112,Richmond - Tweed,New South Wales
113,65162,63947,64806,62237,101,98,104,113,Riverina,New South Wales
114,51315,49843,49006,45588,102,101,107,114,Southern Highlands and Shoalhaven,New South Wales
115,122128,115591,116616,107596,105,99,108,115,Sydney - Baulkham Hills and Hawkesbury,New South Wales
116,138212,128405,125859,116938,107,102,107,116,Sydney - Blacktown,New South Wales
117,186300,158305,161150,132948,117,98,121,117,Sydney - City and Inner South,New South Wales
118,136402,127533,134157,130757,106,95,102,118,Sydney - Eastern Suburbs,New South Wales
119,226040,214157,213539,202681,105,100,105,119,Sydney - Inner South West,New South Wales
120,139008,130571,129158,120509,106,101,107,120,Sydney - Inner West,New South Wales
121,192721,180584,190388,186170,106,94,102,121,Sydney - North Sydney and Hornsby,New South Wales
122,121403,113131,119527,116151,107,94,102,122,Sydney - Northern Beaches,New South Wales
123,117923,110137,109834,103794,107,100,105,123,Sydney - Outer South West,New South Wales
124,135924,130030,133330,129792,104,97,102,124,Sydney - Outer West and Blue Mountains,New South Wales
125,174049,159975,152890,141327,108,104,108,125,Sydney - Parramatta,New South Wales
126,76918,70020,73769,70788,109,94,104,126,Sydney - Ryde,New South Wales
127,150936,142700,143081,136589,105,99,104,127,Sydney - South West,New South Wales
128,107891,105541,110149,108825,102,95,101,128,Sydney - Sutherland,New South Wales
201,63228,59948,58867,54162,105,101,108,201,Ballarat,Victoria
202,61602,58524,57313,51978,105,102,110,202,Bendigo,Victoria
203,115609,108625,105039,95230,106,103,110,203,Geelong,Victoria
204,69938,67997,69336,64362,102,98,107,204,Hume,Victoria
205,105628,103401,99820,91975,102,103,108,205,Latrobe - Gippsland,Victoria
206,303635,269332,262380,233301,112,102,112,206,Melbourne - Inner,Victoria
207,165150,160003,169172,163696,103,94,103,207,Melbourne - Inner East,Victoria
208,172576,165209,167946,157682,104,98,106,208,Melbourne - Inner South,Victoria
209,211055,194328,188400,175970,108,103,107,209,Melbourne - North East,Victoria
210,145251,136204,131013,121838,106,103,107,210,Melbourne - North West,Victoria
211,233918,229713,238363,231086,101,96,103,211,Melbourne - Outer East,Victoria
212,313331,285808,277426,251456,109,103,110,212,Melbourne - South East,Victoria
213,299824,268332,238095,206409,111,112,115,213,Melbourne - West,Victoria
214,115405,112261,111724,105085,102,100,106,214,Mornington Peninsula,Victoria
215,60018,58324,59818,57913,102,97,103,215,North West,Victoria
216,53342,52626,53155,50439,101,99,105,216,Shepparton,Victoria
217,51275,50761,51489,47852,101,98,107,217,Warrnambool and South West,Victoria
301,103573,99119,95386,82474,104,103,115,301,Brisbane - East,Queensland
302,101822,94698,92701,83646,107,102,110,302,Brisbane - North,Queensland
303,158389,148059,145043,127094,106,102,114,303,Brisbane - South,Queensland
304,78912,77527,81008,73810,101,95,109,304,Brisbane - West,Queensland
305,142984,132205,127332,105573,108,103,120,305,Brisbane Inner City,Queensland
306,107304,105446,100045,84284,101,105,118,306,Cairns,Queensland
307,51498,48053,47062,43826,107,102,107,307,Darling Downs - Maranoa,Queensland
308,105183,96980,92324,79808,108,105,115,308,Fitzroy,Queensland
309,240160,221149,206656,168571,108,107,122,309,Gold Coast,Queensland
310,126099,117100,107500,89034,107,108,120,310,Ipswich,Queensland
311,135692,130825,127814,110466,103,102,115,311,Logan - Beaudesert,Queensland
312,85501,82758,77233,62059,103,107,124,312,Mackay,Queensland
313,92668,87344,79684,64982,106,109,122,313,Moreton Bay - North,Queensland
314,91705,82580,76309,63759,111,108,119,314,Moreton Bay - South,Queensland
315,34771,36334,36187,36305,95,100,99,315,Queensland - Outback,Queensland
316,137298,125887,118583,95873,109,106,123,316,Sunshine Coast,Queensland
317,68070,63620,63402,56088,106,100,113,317,Toowoomba,Queensland
318,108645,107331,99884,87309,101,107,114,318,Townsville,Queensland
319,98808,97056,93664,78934,101,103,118,319,Wide Bay,Queensland
401,134880,130133,134220,124789,103,96,107,401,Adelaide - Central and Hills,South Australia
402,172291,161720,163209,147535,106,99,110,402,Adelaide - North,South Australia
403,155317,147668,151056,139694,105,97,108,403,Adelaide - South,South Australia
404,102186,93790,94563,87269,108,99,108,404,Adelaide - West,South Australia
405,41071,40368,40167,37032,101,100,108,405,Barossa - Yorke - Mid North,South Australia
406,34412,34660,34394,31969,99,100,107,406,South Australia - Outback,South Australia
407,71356,70856,71307,67242,100,99,106,407,South Australia - South East,South Australia
501,78470,70332,65049,54959,111,108,118,501,Bunbury,Western Australia
502,38978,32044,27275,21174,121,117,128,502,Mandurah,Western Australia
503,104238,91341,88115,77739,114,103,113,503,Perth - Inner,Western Australia
504,119084,101337,96155,83996,117,105,114,504,Perth - North East,Western Australia
505,263492,223723,210358,180028,117,106,116,505,Perth - North West,Western Australia
506,239216,201818,188763,163989,118,106,115,506,Perth - South East,Western Australia
507,193728,163366,150121,127508,118,108,117,507,Perth - South West,Western Australia
508,97772,93000,84231,76615,105,110,109,508,Western Australia - Outback,Western Australia
509,52769,50007,48969,45273,105,102,108,509,Western Australia - Wheat Belt,Western Australia
601,97674,96139,96717,86105,101,99,112,601,Hobart,Tasmania
602,57906,58116,59048,53738,99,98,109,602,Launceston and North East,Tasmania
603,10500,10552,10700,9570,99,98,111,603,South East,Tasmania
604,45051,46149,45858,40963,97,100,111,604,West and North West,Tasmania
701,83063,75278,66908,61085,110,112,109,701,Darwin,Northern Territory
702,29152,29388,26627,25804,99,110,103,702,Northern Territory - Outback,Northern Territory
801,197444,180851,181799,166856,109,99,108,801,Australian Capital Territory,Australian Capital Territory
