Year,$B
1,180
1000,210
1500,431
1600,574
1700,643
1820,1202
1870,1924
1900,3419
1913,4739
1940,7806
1950,9251
1951,9796
1952,10249
1953,10765
1954,11133
1955,11842
1956,12399
1957,12871
1958,13285
1959,13893
1960,14620
1961,15128
1962,15840
1963,16529
1964,17727
1965,18656
1966,19673
1967,20405
1968,21528
1969,22715
1970,23867
1971,24856
1972,26038
1973,27766
1974,28413
1975,28846
1976,30253
1977,31480
1978,32864
1979,34039
1980,34727
1981,35408
1982,35799
1983,36817
1984,38497
1985,39824
1986,41232
1987,42813
1988,44650
1989,46077
1990,47044
1991,47651
1992,48485
1993,49416
1994,50887
1995,52577
1996,54605
1997,56772
1998,58160
1999,60248
2000,63101
2001,64639
2002,66421
2003,68895
2004,72618
2005,76089
2006,80203
2007,84577
2008,87021
2009,86750
2010,91330
2011,94982
2012,98032
2013,101270
2014,104720
2015,108120
